id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,url,image_url,sound_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
178325937,3a2312f4-0c1a-4d75-9cf7-e6ed4d5b78b2,2023-08-13 23:31:06-07:00,2023-08-13,2023-08-14 06:31:06 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/178325937,,https://static.inaturalist.org/sounds/792367.m4a?1691994713,1,0,false,"San Diego County, US-CA, US",33.0855540777,-117.065594376,22,29012,Coyote,Canis latrans,Coyote,Mammalia,42051
178384219,13636df8-b130-4f5e-b2fc-cc2f44653e89,2023-08-14 09:03:06-07:00,2023-08-14,2023-08-14 16:03:06 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/178384219,,https://static.inaturalist.org/sounds/792601.m4a?1692029006,1,0,false,"Henry Cowell Redwoods State Park, Felton, CA, US",37.0385313565,-122.0628194797,5,5,Western Gray Squirrel,Sciurus griseus,Western Gray Squirrel,Mammalia,46023
178945516,c44c9698-7c2d-4091-a7f1-8d0ef4194afc,2023/08/17 9:47 PM,2023-08-17,2023-08-18 04:47:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/178945516,,https://static.inaturalist.org/sounds/794908.wav?1692334034,1,0,false,"Claremont Ave, Berkeley, CA 94705",37.8664817,-122.2355778,567,567,Coyote,Canis latrans,Coyote,Mammalia,42051
179400348,67c6f908-0dcd-4547-9769-8cf9a33e5396,2023-08-20 12:29:55-07:00,2023-08-20,2023-08-20 19:29:55 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/179400348,,https://static.inaturalist.org/sounds/796680.m4a?1692559811,2,0,false,"Sycamore Ln, Davis, CA, US",38.5484342,-121.7622787,5385,5385,Douglas's Ground Squirrel,Otospermophilus douglasii,Douglas's Ground Squirrel,Mammalia,1511713
179729533,30c839ef-a897-4e0c-a9c4-788b5bd3be68,2023-08-22 13:09:35-07:00,2023-08-22,2023-08-22 20:09:35 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/179729533,,https://static.inaturalist.org/sounds/798152.m4a?1692763029,2,0,false,"Arcata, CA, US",40.8739249678,-124.0700575785,9,9,Gray Fox,Urocyon cinereoargenteus,Gray Fox,Mammalia,42076
180149949,7e8ada6d-80a3-48bd-9897-86635a8341dc,2023-08-25 11:04:58-07:00,2023-08-25,2023-08-25 18:04:58 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/180149949,,https://static.inaturalist.org/sounds/799784.m4a?1692986712,1,0,false,"McKinleyville, CA, US",40.9613515201,-124.0793370302,4,4,Douglas' Squirrel,Tamiasciurus douglasii,Douglas's Squirrel,Mammalia,46259
180699189,7ffe6d0f-5c20-4ec3-9340-668a9074b1b7,2023/08/28,2023-08-28,,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/180699189,,https://static.inaturalist.org/sounds/802098.mp3?1693267027,1,0,false,Filmore Street,36.6126036811,-121.9134536365,64,64,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020
181697891,1857502d-8e7e-4ad7-b4dd-b51b338d99a2,2023/09/03 3:47 PM,2023-09-03,2023-09-03 22:47:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/181697891,https://inaturalist-open-data.s3.amazonaws.com/photos/316660037/medium.jpeg,https://static.inaturalist.org/sounds/806184.m4a?1693805018,1,0,false,"Claremont, CA, USA",34.1140672254,-117.715262008,17,17,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
181797871,6d8f8c8d-155c-4833-856a-653a35031257,2023/09/04 1:10 AM,2023-09-04,2023-09-04 08:10:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/181797871,,https://static.inaturalist.org/sounds/806643.wav?1693858232,1,0,false,"University City, San Diego, CA, USA",32.8693149271,-117.2200548642,114,114,Coyote,Canis latrans,Coyote,Mammalia,42051
181990241,80e9ba9a-5a43-41ef-adb4-e3c230b377a2,2023-09-05 17:59:26-07:00,2023-09-05,2023-09-06 00:59:26 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/181990241,https://static.inaturalist.org/photos/317226826/medium.jpg,https://static.inaturalist.org/sounds/807367.m4a?1693962083,2,0,false,"Marshall Gold Discovery State Historic Park, Coloma, CA, US",38.8004254179,-120.892099098,4,4,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
